Epoch, Train Loss, Val Loss, Inv Loss, Var Loss, Cov Loss
0,49.49957275390625, 49.49957275390625, 7.846058906579856e-06, 49.49956512451172, 2.0235456173645257e-14
1, 38.39801928363269, 44.94488651246366, 3.2763164043426514, 41.60919952392578, 0.05935681238770485
2, 36.86734479590307, 37.65825364290906, 11.095121383666992, 26.28079605102539, 0.2823437452316284
3, 37.350229021869126, 37.008974441177095, 11.63925838470459, 25.043975830078125, 0.32574737071990967
4, 36.67674846890606, 37.46900561398557, 11.625725746154785, 25.549522399902344, 0.2937561273574829
5, 36.203003992008256, 37.175923115762, 11.678986549377441, 25.185441970825195, 0.31148141622543335
6, 36.537545288665385, 37.16839186431807, 11.745553016662598, 25.11514663696289, 0.3076939880847931
7, 37.44969452483745, 36.79668767007111, 12.002127647399902, 24.45400619506836, 0.34055575728416443
8, 36.65895985953416, 36.792579021600204, 12.19832706451416, 24.250720977783203, 0.34353572130203247
9, 37.185720081570786, 37.01681981489177, 11.807222366333008, 24.91029167175293, 0.29931655526161194
10, 37.798499795454966, 36.63374950086979, 12.129462242126465, 24.1543025970459, 0.3499782383441925
11, 35.36771798435646, 36.702373338782266, 12.079556465148926, 24.28154945373535, 0.34125736355781555
12, 36.93034261389624, 36.74884364428118, 11.935534477233887, 24.478370666503906, 0.33493050932884216
13, 36.409352362910404, 36.38470691183339, 12.377445220947266, 23.62857437133789, 0.37867963314056396
14, 37.03076106687136, 36.759877202455954, 12.207983016967773, 24.211042404174805, 0.3408581018447876
15, 35.9726913548723, 36.786229687273654, 12.06008243560791, 24.398048400878906, 0.3281039297580719
16, 36.59889242920694, 36.76171063279252, 11.972092628479004, 24.46373748779297, 0.32587480545043945
17, 36.27036089836797, 36.95849238149346, 12.014130592346191, 24.62885093688965, 0.3155249357223511
18, 37.11730592462081, 36.18756469375337, 12.20685863494873, 23.6165771484375, 0.36412039399147034
19, 36.142359262780296, 36.553128708354045, 12.417457580566406, 23.77610206604004, 0.3595631718635559
20, 36.21812789047821, 36.30845829410016, 12.419523239135742, 23.521059036254883, 0.36787766218185425
21, 36.338229215597806, 36.49992861833109, 12.537471771240234, 23.594017028808594, 0.368439644575119
22, 36.63043770609023, 36.384411233770265, 12.209723472595215, 23.820354461669922, 0.35433125495910645
23, 36.92760134346877, 36.4464567628358, 12.116861343383789, 23.986618041992188, 0.3429878056049347
24, 36.02443999278395, 35.74888228882304, 12.633382797241211, 22.70258140563965, 0.4129241406917572
25, 35.58434607107428, 36.26568077165452, 12.58021068572998, 23.305156707763672, 0.380325585603714
26, 36.32794892033444, 36.29211036018703, 12.382882118225098, 23.54317855834961, 0.36604803800582886
27, 35.54412851454337, 36.18844000091943, 12.377205848693848, 23.43343734741211, 0.377800852060318
28, 36.35899483403073, 36.09000394777264, 12.44259262084961, 23.257577896118164, 0.3898465633392334
29, 34.35790665542023, 35.9851233977491, 12.437844276428223, 23.139358520507812, 0.40792104601860046
30, 36.261596631400195, 35.4819519355169, 12.701353073120117, 22.320829391479492, 0.4597794711589813
31, 36.4363514381119, 35.35310439868351, 12.8020658493042, 22.095006942749023, 0.45603471994400024
32, 34.560210553905634, 35.83999786962329, 12.485965728759766, 22.952171325683594, 0.40186023712158203
33, 36.212398891207535, 35.68978913543779, 12.896883964538574, 22.346384048461914, 0.44651442766189575
34, 35.09292136566548, 35.13366496288563, 12.900232315063477, 21.748388290405273, 0.4850272536277771
35, 34.01542494568643, 35.330689759510555, 12.78701400756836, 22.07729148864746, 0.4663771688938141
36, 34.93701973444299, 34.91268973094423, 13.262304306030273, 21.116479873657227, 0.5339049696922302
37, 34.71832451639296, 35.44154938895379, 12.689833641052246, 22.3033504486084, 0.44838187098503113
