Epoch, Loss, Invariance Loss, Variance Loss, Covariance Loss
1, 0.19568803685623953, 0.0037104650400578976, 0.1919776201248169, 1.7809913971118113e-13
2, 0.19527647391692407, 0.004236035980284214, 0.19104048609733582, 2.547967804626683e-13
3, 0.1951456218481318, 0.0043868920765817165, 0.1907586008310318, 2.7952144180005967e-13
4, 0.19509527925997655, 0.004445264115929604, 0.19064997136592865, 2.7846981990285735e-13
5, 0.19497094670338416, 0.004565864335745573, 0.19040516018867493, 3.054706281761105e-13
6, 0.19470545176122742, 0.004840575624257326, 0.18986472487449646, 3.934751287813787e-13
7, 0.19453019569359864, 0.005122673232108355, 0.18940746784210205, 5.137314185166275e-13
8, 0.19440860261540932, 0.005188910756260157, 0.18921977281570435, 5.536092417823824e-13
9, 0.19431572928548113, 0.005280120298266411, 0.18903563916683197, 6.032078590963164e-13
10, 0.1940845205172547, 0.0055056605488061905, 0.18857890367507935, 7.0467931620119e-13
11, 0.19410049850180713, 0.005513633135706186, 0.18858689069747925, 7.331319253935098e-13
12, 0.19392094221005815, 0.005690624006092548, 0.1882302463054657, 8.186036484086889e-13
13, 0.19392482949091172, 0.005728033371269703, 0.1881968080997467, 8.315077684555028e-13
14, 0.19395186281852375, 0.0056242807768285275, 0.1883276253938675, 7.750929889235869e-13
15, 0.19366539317344042, 0.0059840320609509945, 0.1876814067363739, 9.845232268324011e-13
16, 0.19383928508583162, 0.0057321046479046345, 0.18810714781284332, 8.582084153573033e-13
17, 0.1936217344709551, 0.006026982795447111, 0.18759474158287048, 1.0112807943482571e-12
18, 0.19360735572413848, 0.006048289593309164, 0.18755905330181122, 9.950845486147997e-13
19, 0.19348943041268188, 0.006154789123684168, 0.1873345971107483, 1.0855477758017762e-12
20, 0.19346764977616288, 0.006164506543427706, 0.18730320036411285, 1.1024343330584552e-12
