epoch,loss,accuracy,val_loss,val_acc
0,39.94562479873904,40.919786096256686,33.87385902833939,45.49334672357519
1,29.900357804330838,55.93582887700535,36.19952394390106,45.69420035149385
2,26.723769708555572,59.82887700534759,29.19670022535324,55.71177504393673
3,23.60311539319097,62.01069518716577,25.083594728469848,59.025859904594526
4,23.348658055675273,62.39572192513369,26.708912940502167,56.86668340446899
5,20.606382267815725,66.67379679144385,27.838930426120758,58.021591765001254
6,19.916569709777832,67.25133689839572,25.387061816692352,60.13055485814713
7,19.87203602117746,67.57219251336899,25.25144671726227,59.20160682902335
8,17.995696233243358,69.83957219251337,26.825049653053284,61.410996736128546
9,17.668748975611056,71.9144385026738,26.731158248901366,59.753954305799645
10,16.809094120856045,72.19251336898395,29.84617491912842,59.578207381370824
11,14.909668628253094,76.10695187165776,30.562444797992708,61.43610343961838
12,15.00018743957792,76.0427807486631,32.75074233007431,59.25182023600301
13,13.566098273205919,78.39572192513369,33.45701060152054,61.93823750941501
14,12.59921533396455,80.40641711229947,38.030207313060764,56.063268892794376
15,13.468327418780651,79.65775401069519,35.86634578418732,58.34797891036907
16,10.284507231241992,84.79144385026738,33.82937797641754,61.10971629425057
17,11.230470383653836,84.0,35.812340178489684,60.23098167210645
18,9.59414898943739,86.56684491978609,36.786670812606815,59.62842078835049
19,9.763526290148294,86.93048128342247,37.78456095886231,59.22671353251318
20,7.118833472458076,90.11764705882354,45.94043906831741,59.82927441626914
21,6.945953087285668,90.82352941176471,41.69978496360779,60.406728596535274
22,5.334386987941099,92.98395721925134,55.33048796892166,61.084609590760735
23,5.294031806847676,93.02673796791444,46.25444388532639,62.01355761988451
24,5.428939124759363,92.74866310160428,52.1629864115715,61.5365302535777
25,3.779345054664098,95.40106951871658,57.07771556472778,61.83781069545569
26,3.4946673396898777,95.72192513368984,61.803299097061156,60.933969369821746
27,3.691419641937123,95.76470588235294,58.78898743247986,59.82927441626914
28,4.579857036601245,94.97326203208556,57.3709647064209,61.159929701230226
29,2.0435735887093913,97.81818181818181,74.79611143016815,61.988450916394676
30,0.9713323698537487,98.88770053475936,81.30741987609863,61.58674366055737
31,2.0866291061626607,97.83957219251337,71.45174408912659,61.03439618378107
32,1.922760464959383,97.92513368983957,76.19638500213622,61.21014310820989
33,2.2005642295187835,97.56149732620321,72.32373359584808,62.08887773035401
34,0.7699360097513466,99.33689839572193,85.0870950975418,63.16846598041677
35,0.2965881596509443,99.8716577540107,84.63168120574952,63.92166708511172
36,0.9807916941472843,99.03743315508021,74.05013236045838,61.0595028872709
37,3.0756615508271725,96.51336898395722,88.22190404701233,57.770524730102935
38,4.464517901847962,94.80213903743315,63.27756613016128,62.74165202108963
39,3.3018460513479044,96.53475935828877,61.6649536190033,62.11398443384384
40,1.1323644225960787,98.75935828877006,66.57601825714111,62.79186542806929
41,0.1296292294887311,99.9572192513369,75.29962513923645,64.14762741652021
42,0.018686546828450282,100.0,88.48808935928345,64.19784082349987
43,0.009532516660068982,100.0,93.63599504089356,63.87145367813206
44,0.004268711615208453,100.0,101.61521236228943,63.319106201355766
45,0.0028583289069044073,100.0,106.04091529941559,63.59527993974391
46,0.0020929344581523445,100.0,110.39165997314453,63.796133567662565
47,0.0016604653923125569,100.0,111.89528222274781,63.645493346723576
48,0.001284365705051103,100.0,115.4026920452118,63.7459201606829
49,0.001067782718044847,100.0,118.01342702865601,63.62038664323374
50,0.0008873985501303381,100.0,119.81732422065735,63.545066532764245
51,0.0007741366259206868,100.0,122.11215831184387,63.39442631182526
52,0.0006400386596179826,100.0,124.12313954734802,63.369319608335424
53,0.0005491202144581052,100.0,126.03846802902221,63.59527993974391
54,0.0004852346707228789,100.0,127.84438411712647,63.49485312578459
55,0.0004128755372561636,100.0,129.514798828125,63.49485312578459
56,0.0003884601778767331,100.0,130.38789530181884,63.67060005021341
57,0.0003070628933905906,100.0,132.63188278770446,63.59527993974391
58,0.00027904845692814176,100.0,133.84156914424895,63.41953301531509
59,0.00023323163528947262,100.0,135.10821467971803,63.67060005021341
60,0.00020373568564586476,100.0,136.491476146698,63.319106201355766
